Idx,GeneProbability/KmersHitsOnGene/KmersHitsOnAllGenes/KmersTotal,GeneAnnotation
@>MEG_1330|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.04/12/12/135,>MEG_1325|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1331|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.02/42/42/135,>MEG_1415|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1332|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.02/3/3/135,>MEG_1333|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1333|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_1335|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.19/6/6/135,>MEG_1415|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1336|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.01/119/120/134,>MEG_1332|Drugs|betalactams|Class_A_betalactamases|BLAZ
@random_sequence,?/?/?/?,?
@>MEG_1338|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.02/23/23/135,>MEG_1411|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1339|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.01/121/121/134,>MEG_1349|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1340|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/21/21/135,>MEG_1341|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1341|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@>MEG_1342|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.02/5/5/135,>MEG_1331|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1343|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.01/118/118/134,>MEG_1448|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1344|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.17/3/3/135,>MEG_1408|Drugs|betalactams|Class_A_betalactamases|BLAZ
@random_sequence,?/?/?/?,?
@>MEG_1346|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/3/3/135,>MEG_1381|Drugs|betalactams|Class_A_betalactamases|BLAZ
@random_sequence,?/?/?/?,?
@>MEG_1348|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.05/21/21/135,>MEG_1357|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1349|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.02/120/120/134,>MEG_1348|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1350|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.02/4/4/135,>MEG_1384|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1351|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.45/13/29/135,>MEG_1429|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1352|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.09/19/23/135,>MEG_1343|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1353|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.01/119/119/134,>MEG_1371|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1354|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@>MEG_1355|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.03/119/119/134,>MEG_1355|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1356|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/18/18/135,>MEG_1361|Drugs|betalactams|Class_A_betalactamases|BLAZ
@random_sequence,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_1359|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.21/5/5/135,>MEG_1444|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1360|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@>MEG_1361|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@>MEG_1362|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.03/9/9/135,>MEG_1456|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1363|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.05/1/21/135,>MEG_318|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_1364|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.09/11/11/135,>MEG_1368|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1365|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.02/14/14/135,>MEG_1369|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1366|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/25/25/135,>MEG_1409|Drugs|betalactams|Class_A_betalactamases|BLAZ
@random_sequence,?/?/?/?,?
@>MEG_1368|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.01/118/118/134,>MEG_1378|Drugs|betalactams|Class_A_betalactamases|BLAZ
@random_sequence,?/?/?/?,?
@>MEG_1370|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.02/48/48/135,>MEG_1448|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1371|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@random_sequence,1.0/2/2/135,>MEG_6172|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SDEA
@>MEG_1373|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_1375|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.02/1/24/135,>MEG_3300|Drugs|betalactams|Class_A_betalactamases|IMI
@>MEG_1376|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/14/14/135,>MEG_1450|Drugs|betalactams|Class_A_betalactamases|BLAZ
@random_sequence,?/?/?/?,?
@>MEG_1378|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.03/13/13/135,>MEG_1380|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1379|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@>MEG_1380|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.06/1/8/135,>MEG_7624|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATD
@>MEG_1381|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.01/118/118/134,>MEG_1327|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1382|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.02/20/20/135,>MEG_1372|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1383|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@>MEG_1384|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.08/10/10/135,>MEG_1362|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1385|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.5/4/4/135,>MEG_1417|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1386|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/7/7/135,>MEG_1325|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1387|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/13/13/135,>MEG_1386|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1388|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.08/9/9/135,>MEG_1388|Drugs|betalactams|Class_A_betalactamases|BLAZ
@random_sequence,?/?/?/?,?
@>MEG_1390|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.01/118/118/134,>MEG_1406|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1391|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.02/123/124/134,>MEG_1356|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1392|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.01/118/118/134,>MEG_1386|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1393|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.4/8/20/135,>MEG_1356|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1394|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.2/1/5/135,>MEG_1323|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1395|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@>MEG_1396|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.05/118/118/134,>MEG_1396|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1397|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.01/118/118/134,>MEG_1328|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1398|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@>MEG_1399|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/17/17/135,>MEG_1384|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1400|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.01/122/122/134,>MEG_1374|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1401|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.01/118/118/134,>MEG_1393|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1402|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@>MEG_1403|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.02/12/12/135,>MEG_1421|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1404|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.15/119/119/134,>MEG_1404|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1405|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.42/36/36/135,>MEG_1405|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1406|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/23/23/135,>MEG_1335|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1407|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/17/17/135,>MEG_1365|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1408|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/27/27/135,>MEG_1386|Drugs|betalactams|Class_A_betalactamases|BLAZ
@random_sequence,?/?/?/?,?
@>MEG_1410|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.17/2/12/135,>MEG_2696|Drugs|betalactams|Class_B_betalactamases|EBR
@>MEG_1411|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/11/11/135,>MEG_1407|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1412|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,1.0/11/11/135,>MEG_1412|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1413|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/19/19/135,>MEG_1355|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1414|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@>MEG_1415|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/3/3/135,>MEG_1349|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1416|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.02/3/3/135,>MEG_1435|Drugs|betalactams|Class_A_betalactamases|BLAZ
@random_sequence,?/?/?/?,?
@>MEG_1418|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.5/4/4/135,>MEG_3281|Drugs|betalactams|Class_A_betalactamases|HUGA
@>MEG_1419|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.02/121/121/134,>MEG_1419|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1420|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/12/12/135,>MEG_1428|Drugs|betalactams|Class_A_betalactamases|BLAZ
@random_sequence,?/?/?/?,?
@>MEG_1422|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.02/118/118/134,>MEG_1422|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1423|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.34/6/9/135,>MEG_1425|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1424|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.25/1/2/135,>MEG_1746|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEF
@random_sequence,?/?/?/?,?
@>MEG_1426|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,1.0/2/2/135,>MEG_3665|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MCO
@>MEG_1427|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@>MEG_1428|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.03/4/4/135,>MEG_1442|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1429|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.15/118/118/134,>MEG_1429|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1430|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/8/8/135,>MEG_1325|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1431|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.06/7/7/135,>MEG_1393|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1432|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/6/6/135,>MEG_1372|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1433|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/19/19/135,>MEG_1435|Drugs|betalactams|Class_A_betalactamases|BLAZ
@random_sequence,?/?/?/?,?
@>MEG_1435|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@>MEG_1436|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@>MEG_1437|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.19/25/38/135,>MEG_1380|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1438|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.06/119/119/134,>MEG_1438|Drugs|betalactams|Class_A_betalactamases|BLAZ
@random_sequence,?/?/?/?,?
@>MEG_1440|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.01/118/118/134,>MEG_1417|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1441|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.02/39/39/135,>MEG_1438|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1442|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@>MEG_1443|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.02/122/122/134,>MEG_1432|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1444|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.02/4/4/135,>MEG_1426|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1445|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.03/3/3/135,>MEG_1360|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1446|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/5/5/135,>MEG_1442|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1447|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/2/2/135,>MEG_1351|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1448|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_1450|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.21/8/17/135,>MEG_1409|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1451|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@>MEG_1452|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2_2pointsRearrangement,0.01/118/118/134,>MEG_1356|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1453|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,?/?/?/?,?
@>MEG_1454|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.12/17/17/135,>MEG_1454|Drugs|betalactams|Class_A_betalactamases|BLAZ
@random_sequence,?/?/?/?,?
@>MEG_1456|Drugs|betalactams|Class_A_betalactamases|BLAZ_errorrate=0.2,0.01/21/21/135,>MEG_1410|Drugs|betalactams|Class_A_betalactamases|BLAZ
@>MEG_1457|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLE_errorrate=0.2_2pointsRearrangement,0.99/118/118/134,>MEG_1457|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLE
@>MEG_1458|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLE_errorrate=0.2,1.0/19/19/135,>MEG_1458|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLE
@>MEG_1459|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLE_errorrate=0.2,1.0/7/7/135,>MEG_1459|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLE
@random_sequence,?/?/?/?,?
@>MEG_1461|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLM_errorrate=0.2,?/?/?/?,?
@>MEG_1462|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLM_errorrate=0.2,1.0/41/41/135,>MEG_1462|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLM
@>MEG_1463|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BLT_errorrate=0.2,0.5/12/12/135,>MEG_1464|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BLT
@>MEG_1464|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BLT_errorrate=0.2,0.5/13/13/135,>MEG_1464|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BLT
@>MEG_1465|Biocides|Polyamine_resistance|Spermine/spermidine_acetyltransferase|BLTD_errorrate=0.2_2pointsRearrangement,0.65/118/118/134,>MEG_1465|Biocides|Polyamine_resistance|Spermine/spermidine_acetyltransferase|BLTD
@>MEG_1466|Biocides|Polyamine_resistance|Spermine/spermidine_acetyltransferase|BLTD_errorrate=0.2,0.64/21/21/135,>MEG_1466|Biocides|Polyamine_resistance|Spermine/spermidine_acetyltransferase|BLTD
@>MEG_1467|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|BLTR_errorrate=0.2,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_1469|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|BMR_errorrate=0.2,?/?/?/?,?
@>MEG_1470|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|BMR_errorrate=0.2,1.0/3/3/135,>MEG_1470|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|BMR
@random_sequence,?/?/?/?,?
@>MEG_1472|Drugs|betalactams|Class_D_betalactamases|BPU_errorrate=0.2,1.0/21/21/135,>MEG_1472|Drugs|betalactams|Class_D_betalactamases|BPU
@>MEG_1473|Drugs|betalactams|Class_A_betalactamases|BRO_errorrate=0.2,?/?/?/?,?
@>MEG_1474|Drugs|betalactams|Class_A_betalactamases|BRO_errorrate=0.2,0.25/10/10/135,>MEG_1476|Drugs|betalactams|Class_A_betalactamases|BRO
@>MEG_1475|Drugs|betalactams|Class_A_betalactamases|BRO_errorrate=0.2,0.36/12/12/135,>MEG_1476|Drugs|betalactams|Class_A_betalactamases|BRO
@>MEG_1476|Drugs|betalactams|Class_A_betalactamases|BRO_errorrate=0.2,0.25/2/2/135,>MEG_1475|Drugs|betalactams|Class_A_betalactamases|BRO
@>MEG_1477|Drugs|Glycopeptides|Bleomycin_resistance_protein|BRP_errorrate=0.2,1.0/5/5/135,>MEG_1477|Drugs|Glycopeptides|Bleomycin_resistance_protein|BRP
@>MEG_1478|Drugs|Glycopeptides|Bleomycin_resistance_protein|BRP_errorrate=0.2,0.5/6/6/135,>MEG_1460|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLE
@>MEG_1479|Drugs|betalactams|Class_D_betalactamases|BSU_errorrate=0.2,?/?/?/?,?
@random_sequence,1.0/2/2/135,>MEG_3911|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXF
@>MEG_1481|Drugs|betalactams|Class_C_betalactamases|BUT_errorrate=0.2,0.33/6/6/135,>MEG_1482|Drugs|betalactams|Class_C_betalactamases|BUT
@>MEG_1482|Drugs|betalactams|Class_C_betalactamases|BUT_errorrate=0.2,0.5/9/9/135,>MEG_1481|Drugs|betalactams|Class_C_betalactamases|BUT
@>MEG_1483|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CADA_errorrate=0.2,1.0/4/4/135,>MEG_1483|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CADA
@>MEG_1484|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CADA_errorrate=0.2,?/?/?/?,?
@>MEG_1485|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CADC_errorrate=0.2,?/?/?/?,?
@>MEG_1486|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CADD_errorrate=0.2,1.0/29/29/135,>MEG_1486|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CADD
@>MEG_1487|Metals|Cadmium_resistance|Cadmium_resistance_regulator|CADR_errorrate=0.2,1.0/8/8/135,>MEG_1487|Metals|Cadmium_resistance|Cadmium_resistance_regulator|CADR
@>MEG_1488|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CADX_errorrate=0.2,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_1490|Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation_errorrate=0.2_2pointsRearrangement,?/?/?/?,?
@>MEG_1491|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|CARA_errorrate=0.2,1.0/9/9/135,>MEG_1491|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|CARA
@>MEG_1492|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2,0.04/12/12/135,>MEG_1499|Drugs|betalactams|Class_A_betalactamases|CARB
@random_sequence,?/?/?/?,?
@>MEG_1494|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2,?/?/?/?,?
@>MEG_1495|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2,0.04/7/7/135,>MEG_1496|Drugs|betalactams|Class_A_betalactamases|CARB
@random_sequence,?/?/?/?,?
@>MEG_1497|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2,1.0/4/4/135,>MEG_1497|Drugs|betalactams|Class_A_betalactamases|CARB
@>MEG_1498|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2,?/?/?/?,?
@>MEG_1499|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2,0.5/13/13/135,>MEG_1499|Drugs|betalactams|Class_A_betalactamases|CARB
@>MEG_1500|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2,0.31/16/17/135,>MEG_1512|Drugs|betalactams|Class_A_betalactamases|CARB
@>MEG_1501|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2,0.17/7/7/135,>MEG_1509|Drugs|betalactams|Class_A_betalactamases|CARB
@>MEG_1502|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2_2pointsRearrangement,0.12/119/121/134,>MEG_1502|Drugs|betalactams|Class_A_betalactamases|CARB
@>MEG_1503|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2,0.03/3/3/135,>MEG_1504|Drugs|betalactams|Class_A_betalactamases|CARB
@>MEG_1504|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2,0.13/7/7/135,>MEG_1504|Drugs|betalactams|Class_A_betalactamases|CARB
@random_sequence,?/?/?/?,?
@>MEG_1506|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2,0.03/19/20/135,>MEG_1530|Drugs|betalactams|Class_A_betalactamases|CARB
@>MEG_1507|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_1509|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2,?/?/?/?,?
@>MEG_1510|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2,0.03/5/5/135,>MEG_1535|Drugs|betalactams|Class_A_betalactamases|CARB
@random_sequence,?/?/?/?,?
@>MEG_1512|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2,?/?/?/?,?
@>MEG_1513|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2,?/?/?/?,?
@>MEG_1514|Drugs|betalactams|Class_A_betalactamases|CARB_errorrate=0.2,0.03/6/6/135,>MEG_1517|Drugs|betalactams|Class_A_betalactamases|CARB
